6,0.4925,0.8776,0.475,0,1
6,0.579,0.8652,0.5647,0,1
6,0.42,0.8644,0.2769,0,1
6,0.8225,0.7985,0.6814,0,1
6,0.2512,0.9419,0.359,0,1
6,0.6554,0.875,0.7628,0,1
6,0.273,0.8662,0.1357,0,1
6,0.1004,0.9857,0.2031,0,1
16,0.61855,0.80345,0.32676,0,1
16,0.82123,0.77267,0.53472,0,1
16,0.25034,0.96977,0.50691,0,1
16,0.4558,0.93975,0.71268,0,1
8,0.4456,0.8323,0.1577,0,1
8,0.0839,0.9968,0.3345,0,1
6,0.5418,0.6326,0.5427,0,1
6,0.4798,0.6297,0.4474,0,1
6,0.5817,0.6541,0.7531,0,1
6,0.2866,0.6456,0.3095,0,1
6,0.757,0.5716,0.6821,0,1
6,0.4624,0.5661,0.243,0,1
6,0.7028,0.5941,0.9178,0,1
6,0.8749,0.5586,0.8449,0,1
16,0.3923,0.72314,0.6868,0,1
16,0.24045,0.71508,0.45503,0,1
16,0.78537,0.54209,0.52689,0,1
16,0.63522,0.53675,0.30543,0,1
8,0.5386,0.6864,0.8755,0,1
8,0.9191,0.5081,0.7196,0,1
15,0.98888,0.77115,0.02141,0,1
9,0.7682,0.8768,0.0342,0,1
9,1.2075,0.6679,0.012,0,1
9,0.9528,0.8065,0.1659,0,1
9,1.0111,0.7454,-0.114,0,1
9,1.024,0.8614,0.0062,0,1
9,0.9463,0.6877,0.0455,0,1
6,0.5075,0.1224,0.525,0,1
6,0.421,0.1348,0.4353,0,1
6,0.58,0.1356,0.7231,0,1
6,0.1775,0.2015,0.3186,0,1
6,0.7488,0.0581,0.641,0,1
6,0.3446,0.125,0.2372,0,1
6,0.727,0.1338,0.8643,0,1
6,0.8996,0.0143,0.7969,0,1
16,0.38145,0.19655,0.67324,0,1
16,0.17877,0.22733,0.46528,0,1
16,0.74966,0.03023,0.49309,0,1
16,0.5442,0.06025,0.28732,0,1
8,0.5544,0.1677,0.8423,0,1
8,0.9161,0.0032,0.6655,0,1
6,0.4582,0.3674,0.4573,0,1
6,0.5202,0.3703,0.5526,0,1
6,0.4183,0.3459,0.2469,0,1
6,0.7134,0.3544,0.6905,0,1
6,0.243,0.4284,0.3179,0,1
6,0.5376,0.4339,0.757,0,1
6,0.2972,0.4059,0.0822,0,1
6,0.1251,0.4414,0.1551,0,1
16,0.6077,0.27686,0.3132,0,1
16,0.75955,0.28492,0.54497,0,1
16,0.21463,0.45791,0.47311,0,1
16,0.36478,0.46325,0.69457,0,1
8,0.4614,0.3136,0.1245,0,1
8,0.0809,0.4919,0.2804,0,1
15,0.01112,0.22885,0.97859,0,1
9,0.2318,0.1232,0.9658,0,1
9,-0.2075,0.3321,0.988,0,1
9,0.0472,0.1935,0.8341,0,1
9,-0.0111,0.2546,1.114,0,1
9,-0.024,0.1386,0.9938,0,1
9,0.0537,0.3123,0.9545,0,1
